              total        used        free      shared  buff/cache   available
Mem:           7879        5184         317         234        2377        2163
Swap:          2047          59        1988
top - 09:38:50 up 11:24,  1 user,  load average: 0.32, 0.41, 0.47
Tasks: 360 total,   1 running, 343 sleeping,  16 stopped,   0 zombie
%Cpu(s): 13.0 us,  4.3 sy,  0.0 ni, 79.7 id,  0.0 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    310.2 free,   5186.7 used,   2382.2 buff/cache
MiB Swap:   2048.0 total,   1988.9 free,     59.1 used.   2156.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1964 karthik   20   0  341204  24096  17796 S   0.0   0.3   0:00.30 gsd-key+
   1965 karthik   20   0  683496  27660  20632 S   0.0   0.3   0:00.47 gsd-med+
   1968 karthik   20   0  415452  24828  18452 S   0.0   0.3   0:00.39 gsd-pow+
   1970 karthik   20   0  248200  10328   8916 S   0.0   0.1   0:00.03 gsd-pri+
   1971 karthik   20   0  457088   6056   5420 S   0.0   0.1   0:00.04 gsd-rfk+
   1972 karthik   20   0  235500   5920   5396 S   0.0   0.1   0:00.05 gsd-scr+
   1973 karthik   20   0  464652  10064   8800 S   0.0   0.1   0:00.09 gsd-sha+
   1977 karthik   20   0  315028   8332   7516 S   0.0   0.1   0:00.03 gsd-sma+
   1978 karthik   20   0  319248   9004   7996 S   0.0   0.1   0:00.02 gsd-sou+
   1979 karthik   20   0  458696   7300   6524 S   0.0   0.1   0:00.03 gsd-usb+
   1980 karthik   20   0  340636  23792  17436 S   0.0   0.3   0:00.31 gsd-wac+
   1985 karthik   20   0  313984   7836   6952 S   0.0   0.1   0:00.02 gsd-wwan
   1989 karthik   20   0  341900  25276  18412 S   0.0   0.3   0:00.43 gsd-xse+
   2012 karthik   20   0  182764  18428  11660 S   0.0   0.2   0:00.05 python3
   2014 karthik   20   0  231792   5884   4508 S   0.0   0.1   0:00.02 gsd-dis+
   2020 karthik   20   0  776392  54052  42592 S   0.0   0.7   0:00.41 evoluti+
   2061 karthik   20   0  342152  14128  12220 S   0.0   0.2   0:00.01 gsd-pri+
   2113 karthik   20   0  313968   8176   6900 S   0.0   0.1   0:00.09 gvfsd-t+
   2146 karthik   20   0  746912  28872  25052 S   0.0   0.4   0:00.12 evoluti+
   2334 root       0 -20       0      0      0 S   0.0   0.0   0:00.01 loop30
   2356 karthik   20   0 1131356  86700  47304 S   0.0   1.1   0:14.98 nautilus
   2424 root      20   0 1452044  31992  14548 S   0.0   0.4   0:05.65 snapd
   2868 karthik   20   0 1302528 496760  44424 S   0.0   6.2   0:09.77 gnome-s+
   2870 karthik   20   0  417264  29148  22864 S   0.0   0.4   0:00.70 update-+
   2928 root      20   0  442204  20444  17152 S   0.0   0.3   0:00.96 fwupd
   4638 karthik   20   0  387832   8432   7484 S   0.0   0.1   0:00.03 gvfsd-n+
   4653 karthik   20   0  314964   8224   7268 S   0.0   0.1   0:00.04 gvfsd-d+
   4756 karthik   20   0 1048924  53140  41076 S   0.0   0.7   0:00.44 gnome-c+
   4760 karthik   20   0  464204  39632  26144 S   0.0   0.5   0:00.33 seahorse
   9902 karthik   20   0 4097944 424184 162208 S   0.0   5.3   4:55.14 firefox
  10113 karthik   20   0 2871372 436080 112092 S   0.0   5.4   0:34.27 Web Con+
  10164 karthik   20   0 2417012 122740  91480 S   0.0   1.5   0:05.20 Privile+
  10194 karthik   20   0 2818236 323820  90000 S   0.0   4.0   0:30.60 WebExte+
  12136 karthik   20   0 3012564 350924 141632 S   0.0   4.3   1:59.19 Web Con+
  12336 karthik   20   0 2574628 215820 111944 S   0.0   2.7   0:21.13 Web Con+
  12604 karthik   20   0 2601036 238988  99456 S   0.0   3.0   0:24.26 Web Con+
  13674 karthik   20   0 2458464 156992 110328 S   0.0   1.9   0:07.37 Web Con+
  14100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  14221 root      20   0   28556   8144   6396 S   0.0   0.1   0:00.01 cupsd
  14222 root      20   0  180424  12028  10380 S   0.0   0.1   0:00.04 cups-br+
  22110 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
  22443 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
  22444 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia
  26795 karthik   20   0  947000 266456 128584 S   0.0   3.3   1:18.01 chrome
  26804 karthik   20   0    8220    588    520 S   0.0   0.0   0:00.00 cat
  26805 karthik   20   0    8220    592    524 S   0.0   0.0   0:00.00 cat
  26808 karthik   20   0  270928  63224  52116 S   0.0   0.8   0:00.08 chrome
  26809 karthik   20   0  270928  62972  51848 S   0.0   0.8   0:00.09 chrome
  26814 karthik   20   0   10776   4076   3504 S   0.0   0.1   0:00.00 nacl_he+
  26817 karthik   20   0  270928  15200   4068 S   0.0   0.2   0:00.23 chrome
  26825 karthik   20   0   10776   3120   2668 S   0.0   0.0   0:00.00 nacl_he+
